min,line,coderate,p2p,platform,isp,value,cnt
1590843180,3,2000,1,ios,联通,58,1794
1590843180,8,-1,0,adr_tv,移动,0,1
1590843180,8,8000,1,ipad,移动,2,153
1590843180,5,2000,0,pc_exe,教育网,0,3
1590843180,8,2500,1,ipad,移动,0,9
1590843180,8,500,0,ipad,联通,4,9
1590843180,5,4000,1,pc_exe,小运营商,0,27
1590843180,3,2000,0,ios,移动,1,62
1590843180,5,0,0,ipad,海外,0,1
1590843180,3,500,1,adr,联通,35,770
1590843180,6,8000,0,webh5,联通,0,31
1590843180,6,8000,1,pc_exe,海外,0,8
1590843180,6,2000,1,pc_exe,小运营商,17,220
1590843180,8,4000,1,adr,联通,28,1073
1590843180,6,500,0,pc_exe,海外,0,21
1590843180,3,8000,1,pc_exe,小运营商,0,39
1590843180,5,8000,1,ios,移动,1,91
1590843180,5,500,0,ipad,联通,0,5
1590843180,3,500,1,adr,小运营商,0,97
1590843180,3,8000,0,ios,电信,1,11
1590843180,3,8000,0,adr,电信,0,3
1590843180,5,2000,1,ipad,海外,0,61
1590843180,6,4000,0,ios,电信,0,31
1590843180,5,500,0,pc_exe,移动,0,24
1590843180,5,4000,1,webh5,小运营商,0,20
1590843180,8,0,0,webh5,小运营商,0,5
1590843180,5,2000,1,ios,电信,58,1581
1590843180,6,8000,1,pc_exe,电信,19,762
1590843180,3,8000,0,web,电信,0,85
1590843180,3,4000,0,web,移动,2,20
1590843180,6,2000,0,webh5,未知,0,2
1590843180,8,2500,1,ipad,电信,0,9
1590843180,3,2000,0,web,移动,0,18
1590843180,8,2000,0,webh5,移动,0,202
1590843180,8,4000,0,webh5,移动,0,20
1590843180,6,4000,0,adr,电信,9,291
1590843180,3,2000,1,pc_exe,未知,0,2
1590843180,8,2000,1,pc_exe,联通,50,1175
1590843180,8,500,0,pc_exe,移动,2,187
1590843180,5,0,0,adr,电信,0,27
1590843180,8,8000,0,adr_tv,移动,0,47
1590843180,3,0,1,ios,移动,0,2
1590843180,3,0,0,adr_tv,海外,0,9
1590843180,5,4000,0,webh5,电信,0,7
1590843180,5,4000,1,ios,小运营商,1,66
