min,cdn,bitrate,p2p,device,isp,value,cnt
1590862680,5,500,1,webh5,联通,0,20
1590862680,3,4000,1,adr,联通,0,36
1590862680,5,2000,1,webh5,联通,0,68
1590862680,3,6000,1,ipad,联通,0,3
1590862680,3,2000,1,ios,联通,0,26
1590862680,3,6000,0,pc_exe,电信,0,10
1590862680,3,4000,1,pc_exe,联通,0,3
1590862680,3,6000,1,adr,移动,0,15
1590862680,5,4000,0,webh5,联通,0,3
1590862680,5,500,1,ios,联通,1,42
1590862680,3,500,1,ios,移动,0,15
1590862680,5,4000,1,ios,电信,5,311
1590862680,5,2000,1,ios,小运营商,0,23
1590862680,5,2000,1,ipad,移动,0,35
1590862680,3,2000,0,adr,联通,0,7
1590862680,5,6000,1,pc_exe,移动,0,6
1590862680,3,4000,1,ios,小运营商,0,3
1590862680,3,2000,1,ios,电信,0,13
1590862680,5,4000,0,adr_tv,移动,3,6
1590862680,5,500,0,ios,移动,0,3
1590862680,5,4000,1,ipad,联通,0,3
1590862680,5,4000,0,adr,联通,0,12
1590862680,5,6000,1,pc_exe,电信,0,18
1590862680,5,6000,1,pc_exe,联通,0,15
1590862680,3,6000,1,pc_exe,联通,0,6
1590862680,3,0,0,adr_tv,移动,0,9
1590862680,5,500,1,ios,移动,4,96
1590862680,5,4000,1,ipad,移动,0,6
1590862680,5,0,0,adr,联通,0,9
1590862680,3,4000,1,ipad,移动,0,6
1590862680,5,500,0,adr,电信,0,17
1590862680,5,2000,1,adr,海外,0,20
1590862680,5,4000,1,adr,移动,10,532
1590862680,5,2000,0,pc_exe,联通,0,12
1590862680,3,500,1,ios,电信,0,17
1590862680,5,6000,1,webh5,教育网,0,3
1590862680,5,2000,1,pc_exe,小运营商,0,3
1590862680,5,6000,1,ios,小运营商,0,3
1590862680,3,2000,0,adr,电信,3,9
1590862680,5,500,1,ios,小运营商,0,9
1590862680,3,4000,1,webh5,海外,0,4
1590862680,3,2000,1,pc_exe,电信,0,3
1590862680,3,500,0,adr,联通,0,6
1590862680,5,6000,1,adr,小运营商,0,6
1590862680,5,4000,0,pc_exe,联通,0,14
1590862680,3,6000,1,ios,电信,0,4
1590862680,5,4000,0,pc_exe,移动,0,22
1590862680,5,500,1,webh5,移动,0,5
1590862680,5,500,1,webh5,电信,0,57
1590862680,5,500,1,adr,海外,0,8
1590862680,3,2000,0,adr,移动,0,1
1590862680,3,6000,1,adr,电信,0,39
1590862680,5,6000,1,adr,联通,0,54
1590862680,3,500,1,adr,电信,0,28
1590862680,5,4000,0,pc_exe,小运营商,0,6
1590862680,5,6000,1,webh5,联通,0,15
1590862680,5,2000,0,webh5,电信,0,5
1590862680,3,4000,0,adr,移动,0,3
1590862680,5,500,1,webh5,小运营商,0,4
1590862680,5,500,1,adr,小运营商,0,12
1590862680,5,4000,0,pc_exe,电信,0,54
1590862680,3,4000,1,pc_exe,电信,0,3
1590862680,3,2000,0,ios,移动,0,2
1590862680,5,6000,1,webh5,电信,0,80
1590862680,5,2000,1,ios,电信,6,335
1590862680,3,4000,1,adr,海外,0,6
1590862680,5,2000,1,webh5,移动,0,56
1590862680,5,500,0,adr_tv,移动,0,6
1590862680,3,6000,1,ios,联通,0,4
1590862680,3,2000,0,adr,小运营商,0,3
1590862680,5,500,0,ios,联通,0,23
1590862680,5,4000,1,ipad,电信,0,12
1590862680,5,500,1,adr,联通,1,97
1590862680,3,6000,1,ios,小运营商,0,3
1590862680,3,4000,1,adr,移动,3,95
1590862680,5,6000,1,ios,联通,1,24
1590862680,3,4000,1,ios,移动,0,21
1590862680,5,4000,1,webh5,海外,0,15
1590862680,5,2000,0,adr,电信,0,33
1590862680,5,4000,1,adr,小运营商,0,55
1590862680,5,4000,1,ios,移动,0,143
1590862680,3,2000,0,webh5,电信,0,2
1590862680,5,2000,1,adr,未知,0,3
1590862680,3,4000,0,pc_exe,移动,0,1
1590862680,5,2000,1,ios,联通,1,149
1590862680,5,500,0,adr,海外,0,3
1590862680,5,2000,1,pc_exe,联通,0,12
1590862680,3,2000,0,pc_exe,电信,0,2
1590862680,3,6000,1,webh5,移动,0,6
1590862680,5,500,0,pc_exe,移动,0,1
1590862680,3,6000,1,pc_exe,移动,0,6
1590862680,3,2000,0,ipad,电信,0,3
1590862680,3,2000,1,adr,移动,0,87
1590862680,5,0,0,adr_tv,电信,0,30
1590862680,3,500,1,adr,联通,0,12
1590862680,5,6000,1,ios,电信,3,59
1590862680,5,2000,0,adr_tv,电信,0,9
1590862680,5,500,1,ipad,联通,0,3
1590862680,5,6000,0,pc_exe,电信,0,17
1590862680,3,0,0,adr_tv,电信,0,3
1590862680,3,0,1,ipad,移动,0,1
1590862680,5,6000,0,web,联通,0,3
1590862680,5,6000,1,adr,移动,0,117
1590862680,5,2000,0,webh5,联通,0,5
1590862680,3,2000,1,ios,小运营商,0,3
1590862680,3,500,0,adr_tv,电信,0,3
1590862680,5,2000,0,adr,联通,1,214
1590862680,5,6000,1,webh5,移动,1,25
1590862680,3,2000,1,adr,联通,0,35
1590862680,3,2000,1,webh5,联通,0,6
1590862680,5,4000,1,ios,阿里云,0,4
1590862680,5,4000,0,adr,移动,0,24
1590862680,5,6000,1,webh5,小运营商,0,3
